Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
APP-1001,9270,0,Salaried,31,Single,1,667,0,0.16,6392,163650,43741,180,Home,Semi-Urban,Postgraduate,Male,Private,1
APP-1002,2860,0,Salaried,61,Married,0,740,0,0.48,26905,116034,11408,36,Personal,Rural,Graduate,Male,Private,0
APP-1003,7390,0,Salaried,32,Married,0,591,4,0.48,74508,27883,52903,360,Personal,Semi-Urban,Postgraduate,Male,Govt,0
APP-1004,7191,1500,Self-Employed,35,Single,1,591,0,0.5,51385,39782,117042,60,Home,Semi-Urban,Graduate,Male,Govt,0
APP-1005,13964,1500,Salaried,51,Married,0,825,1,0.54,31653,66387,142290,60,Home,Rural,Undergraduate,Male,Private,1
APP-1006,13284,0,Self-Employed,49,Married,0,566,0,0.23,15799,158051,132189,48,Personal,Semi-Urban,Graduate,Female,Private,0
APP-1007,7734,3000,Self-Employed,46,Married,3,832,3,0.21,61103,43746,119268,360,Business,Semi-Urban,Graduate,Male,Private,1
APP-1008,8265,0,Salaried,38,Married,1,807,0,0.33,16052,76266,40105,240,Personal,Urban,Graduate,Female,Govt,1
APP-1009,2466,0,Self-Employed,52,Single,1,612,4,0.23,7044,10056,79634,48,Home,Rural,Graduate,Female,Self,0
APP-1010,6426,0,Salaried,42,Single,0,611,1,0.47,20871,41457,127426,48,Home,Semi-Urban,Graduate,Female,Private,0
APP-1011,7578,0,Salaried,58,Single,0,649,0,0.42,21234,143315,148691,24,Home,Semi-Urban,Undergraduate,Male,Self,0
APP-1012,13636,1000,Self-Employed,37,Single,3,568,3,0.54,22381,196103,28226,360,Personal,Urban,Postgraduate,Male,Private,0
APP-1013,13363,2000,Salaried,43,Married,0,566,1,0.14,18274,142773,35322,36,Personal,Semi-Urban,Undergraduate,Male,Govt,1
APP-1014,13111,1500,Salaried,44,Married,1,795,0,0.56,50892,197453,127504,48,Home,Urban,Undergraduate,Male,Private,1
APP-1015,10322,0,Salaried,28,Married,0,800,2,0.25,51521,191510,68215,180,Business,Urban,Graduate,Male,Private,1
APP-1016,3685,0,Salaried,61,Married,1,630,3,0.35,18920,83839,147632,240,Personal,Semi-Urban,Postgraduate,Female,Private,0
APP-1017,2769,0,Salaried,26,Married,0,588,1,0.32,17702,90636,104835,240,Personal,Urban,Graduate,Male,Private,0
APP-1018,12583,3000,Salaried,25,Single,3,585,0,0.48,2894,117697,83079,48,Business,Urban,Undergraduate,Male,Govt,0
APP-1019,8949,0,Business,64,Married,3,746,2,0.31,31985,76483,33946,180,Home,Semi-Urban,Graduate,Female,Private,1
